auc,prec_down,recall_down,prec_up,recall_up,n_down_calls,n_test,ticker,model,seed
0.9922480620155039,0.359375,1.0,1.0,0.6821705426356589,64,152,VALE3,transformer_finbert,10
0.6864583333333333,0.21311475409836064,0.8125,0.9,0.36,122,182,VALE3,baseline_xgb,10
0.9892146949780924,0.2911392405063291,1.0,1.0,0.5658914728682171,79,152,VALE3,transformer_finbert,11
0.6591666666666667,0.21138211382113822,0.8125,0.8983050847457628,0.35333333333333333,123,182,VALE3,baseline_xgb,11
0.9366363329962925,0.3333333333333333,1.0,1.0,0.6434108527131783,69,152,VALE3,transformer_finbert,12
0.6766666666666666,0.2184873949579832,0.8125,0.9047619047619048,0.38,119,182,VALE3,baseline_xgb,12
0.9922480620155039,0.27710843373493976,1.0,1.0,0.5348837209302325,83,152,VALE3,transformer_finbert,13
0.6695833333333333,0.21666666666666667,0.8125,0.9032258064516129,0.37333333333333335,120,182,VALE3,baseline_xgb,13
0.8624873609706774,0.1619718309859155,1.0,1.0,0.07751937984496124,142,152,VALE3,transformer_finbert,14
0.6933333333333332,0.216,0.84375,0.9122807017543859,0.3466666666666667,125,182,VALE3,baseline_xgb,14
0.9979777553083923,0.3194444444444444,1.0,1.0,0.6201550387596899,72,152,VALE3,transformer_finbert,15
0.6889583333333333,0.21311475409836064,0.8125,0.9,0.36,122,182,VALE3,baseline_xgb,15
0.5335355578024942,0.20481927710843373,0.7391304347826086,0.9130434782608695,0.4883720930232558,83,152,VALE3,transformer_finbert,16
0.6858333333333333,0.21311475409836064,0.8125,0.9,0.36,122,182,VALE3,baseline_xgb,16
0.9922480620155039,0.3026315789473684,1.0,1.0,0.5891472868217055,76,152,VALE3,transformer_finbert,17
0.6845833333333333,0.21138211382113822,0.8125,0.8983050847457628,0.35333333333333333,123,182,VALE3,baseline_xgb,17
0.992248062015504,0.26744186046511625,1.0,1.0,0.5116279069767442,86,152,VALE3,transformer_finbert,18
0.6781250000000001,0.21138211382113822,0.8125,0.8983050847457628,0.35333333333333333,123,182,VALE3,baseline_xgb,18
0.9962925513987193,0.3150684931506849,1.0,1.0,0.6124031007751938,73,152,VALE3,transformer_finbert,19
0.6772916666666667,0.20967741935483872,0.8125,0.896551724137931,0.3466666666666667,124,182,VALE3,baseline_xgb,19
